"OSQ120f.Code.or.Value","OSQ120f.Value.Description","OSQ120f.Count","OSQ120f.Cumulative","OSQ120f.Skip.to.Item"
"1","Yes",9,9,""
"2","No",3,12,"OSQ060"
"7","Refused",0,12,"OSQ060"
"9","Don't know",0,12,"OSQ060"
".","Missing",5923,5935,""
