"DR1TPROT.Code.or.Value","DR1TPROT.Value.Description","DR1TPROT.Count","DR1TPROT.Cumulative","DR1TPROT.Skip.to.Item"
"0 to 499.62","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
