"DID040G.Code.or.Value","DID040G.Value.Description","DID040G.Count","DID040G.Cumulative","DID040G.Skip.to.Item"
"1","Enter number",512,512,NA
"2","Less than 1 year",10,522,NA
"7","Refused",1,523,NA
"9","Don't know",5,528,NA
".","Missing",9942,10470,NA
