"BMXSAD3.Code.or.Value","BMXSAD3.Value.Description","BMXSAD3.Count","BMXSAD3.Cumulative","BMXSAD3.Skip.to.Item"
"10.9 to 35.6","Range of Values",358,358,NA
".","Missing",9455,9813,NA
