"DR1TFF.Code.or.Value","DR1TFF.Value.Description","DR1TFF.Count","DR1TFF.Cumulative","DR1TFF.Skip.to.Item"
"0 to 1376","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
