"LBDODTLC.Code.or.Value","LBDODTLC.Value.Description","LBDODTLC.Count","LBDODTLC.Cumulative","LBDODTLC.Skip.to.Item"
"0","detectable result",20,20,NA
"1","below detectable limit",1649,1669,NA
".","Missing",605,2274,NA
