"PADTIMES.Code.or.Value","PADTIMES.Value.Description","PADTIMES.Count","PADTIMES.Cumulative","PADTIMES.Skip.to.Item"
"1 to 300","Range of Values",9260,9260,NA
".","Missing",6,9266,NA
