"DSQIMAGN.Code.or.Value","DSQIMAGN.Value.Description","DSQIMAGN.Count","DSQIMAGN.Cumulative","DSQIMAGN.Skip.to.Item"
"0.1 to 2001.12","Range of Values",2529,2529,NA
".","Missing",5871,8400,NA
