"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"1 to 231.67","Range of Values",3071,3071,NA
".","Missing",244,3315,NA
