"DXDTOFAT.Code.or.Value","DXDTOFAT.Value.Description","DXDTOFAT.Count","DXDTOFAT.Cumulative","DXDTOFAT.Skip.to.Item"
"3197.1 to 77483.6","Range of Values",4598,4598,NA
".","Missing",1182,5780,NA
