"RFXT095.Code.or.Value","RFXT095.Value.Description","RFXT095.Count","RFXT095.Cumulative","RFXT095.Skip.to.Item"
"822 to 831","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
