"PAXNWMD.Code.or.Value","PAXNWMD.Value.Description","PAXNWMD.Count","PAXNWMD.Cumulative","PAXNWMD.Skip.to.Item"
"0 to 1440","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
