"CBD760.Code.or.Value","CBD760.Value.Description","CBD760.Count","CBD760.Cumulative","CBD760.Skip.to.Item"
"16 to 79","Range of Values",2242,2242,NA
"80",">= 80 years of age",0,2242,NA
".","Missing",627,2869,NA
