"LBXFOR.Code.or.Value","LBXFOR.Value.Description","LBXFOR.Count","LBXFOR.Cumulative","LBXFOR.Skip.to.Item"
"12.3 to 236","Range of Values",2149,2149,NA
".","Missing",606,2755,NA
