"OHQ680.Code.or.Value","OHQ680.Value.Description","OHQ680.Count","OHQ680.Cumulative","OHQ680.Skip.to.Item"
"1","Very often",359,359,NA
"2","Fairly often",189,548,NA
"3","Occasionally",395,943,NA
"4","Hardly ever, or",505,1448,NA
"5","Never?",3293,4741,NA
"7","Refused",1,4742,NA
"9","Don't know",1,4743,NA
".","Missing",4832,9575,NA
