"VIXKLD2.Code.or.Value","VIXKLD2.Value.Description","VIXKLD2.Count","VIXKLD2.Cumulative","VIXKLD2.Skip.to.Item"
"36.75 to 67.75","Range of Values",6962,6962,NA
"88","Could not obtain",49,7011,NA
".","Missing",434,7445,NA
