"PFD069P.Code.or.Value","PFD069P.Value.Description","PFD069P.Count","PFD069P.Cumulative","PFD069P.Skip.to.Item"
"60 to 26280","Range of Values",172,172,NA
"66666","Since birth",6,178,NA
"77777","Refused",0,178,NA
"99999","Don't know",3,181,NA
".","Missing",10289,10470,NA
