"AUDTYR27.Code.or.Value","AUDTYR27.Value.Description","AUDTYR27.Count","AUDTYR27.Cumulative","AUDTYR27.Skip.to.Item"
"0 to 1.72","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
