"SXQ470.Code.or.Value","SXQ470.Value.Description","SXQ470.Count","SXQ470.Cumulative","SXQ470.Skip.to.Item"
"0 to 20","Range of Values",1262,1262,NA
"77777","Refused",0,1262,NA
"99999","Don't know",1,1263,NA
".","Missing",2022,3285,NA
