"LBC153LA.Code.or.Value","LBC153LA.Value.Description","LBC153LA.Count","LBC153LA.Cumulative","LBC153LA.Skip.to.Item"
"0.1 to 150.6","Range of Values",264,264,NA
".","Missing",0,264,NA
