"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1","1",67,67,NA
"2","2",8,75,NA
"3","3",2,77,NA
"7777","Refused",0,77,NA
"9999","Don't know",0,77,NA
".","Missing",3738,3815,NA
