"VIXKRG1.Code.or.Value","VIXKRG1.Value.Description","VIXKRG1.Count","VIXKRG1.Cumulative","VIXKRG1.Skip.to.Item"
"0 to 180","Range of Values",6969,6969,NA
"888","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
