"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"39 to 79","Range of Values",2270,2270,NA
"7777","Refused",1,2271,NA
"9999","Don't know",146,2417,NA
".","Missing",3627,6044,NA
