"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"2 to 10","Range of Values",8,8,NA
"77","Refused",0,8,NA
"99","Don't know",0,8,NA
".","Missing",3556,3564,NA
