"DS2TSODI.Code.or.Value","DS2TSODI.Value.Description","DS2TSODI.Count","DS2TSODI.Cumulative","DS2TSODI.Skip.to.Item"
"2 to 635","Range of Values",377,377,NA
".","Missing",8327,8704,NA
