"BMXRECUM.Code.or.Value","BMXRECUM.Value.Description","BMXRECUM.Count","BMXRECUM.Cumulative","BMXRECUM.Skip.to.Item"
"48.6 to 115.1","Range of Values",1065,1065,NA
".","Missing",8748,9813,NA
