"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3633,3633,NA
"2","No",6117,9750,NA
".","Missing",6,9756,NA
