"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",1961,1961,NA
"1","Below lower detection limit",533,2494,NA
".","Missing",118,2612,NA
