"DR1TCAFF.Code.or.Value","DR1TCAFF.Value.Description","DR1TCAFF.Count","DR1TCAFF.Cumulative","DR1TCAFF.Skip.to.Item"
"0 to 4530","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
