"DR1TP183.Code.or.Value","DR1TP183.Value.Description","DR1TP183.Count","DR1TP183.Cumulative","DR1TP183.Skip.to.Item"
"0 to 16.88","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
