"DR1TNUMF.Code.or.Value","DR1TNUMF.Value.Description","DR1TNUMF.Count","DR1TNUMF.Cumulative","DR1TNUMF.Skip.to.Item"
"2 to 57","Range of Values",9349,9349,NA
".","Missing",601,9950,NA
