"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",318,318,""
"2","No",3381,3699,"DRD350G"
".","Missing",5845,9544,""
