"DXDRLPF.Code.or.Value","DXDRLPF.Value.Description","DXDRLPF.Count","DXDRLPF.Cumulative","DXDRLPF.Skip.to.Item"
"10.9 to 63.8","Range of Values",3966,3966,NA
".","Missing",1148,5114,NA
