"LBDRPLSI.Code.or.Value","LBDRPLSI.Value.Description","LBDRPLSI.Count","LBDRPLSI.Cumulative","LBDRPLSI.Skip.to.Item"
"0.031 to 2.028","Range of Values",6281,6281,NA
".","Missing",1154,7435,NA
