"BMITHICR.Code.or.Value","BMITHICR.Value.Description","BMITHICR.Count","BMITHICR.Cumulative","BMITHICR.Skip.to.Item"
"1","Could not obtain",338,338,NA
".","Missing",9305,9643,NA
