"LBDBHCLC.Code.or.Value","LBDBHCLC.Value.Description","LBDBHCLC.Count","LBDBHCLC.Cumulative","LBDBHCLC.Skip.to.Item"
"0","At or above the detection limit",186,186,NA
"1","Below lower detection limit",61,247,NA
".","Missing",0,247,NA
