"AUXR1K2L.Code.or.Value","AUXR1K2L.Value.Description","AUXR1K2L.Count","AUXR1K2L.Cumulative","AUXR1K2L.Skip.to.Item"
"666","No response",0,0,NA
"888","Could not obtain",0,0,NA
".","Missing",4500,4500,NA
