"RFXT018.Code.or.Value","RFXT018.Value.Description","RFXT018.Count","RFXT018.Cumulative","RFXT018.Skip.to.Item"
"141 to 150","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
