"LBDHBG.Code.or.Value","LBDHBG.Value.Description","LBDHBG.Count","LBDHBG.Cumulative","LBDHBG.Skip.to.Item"
"1","Positive",13,13,NA
"2","Negative",7937,7950,NA
".","Missing",1648,9598,NA
