"DR2TCRYP.Code.or.Value","DR2TCRYP.Value.Description","DR2TCRYP.Count","DR2TCRYP.Cumulative","DR2TCRYP.Skip.to.Item"
"0 to 4746","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
