"CVDEXLEN.Code.or.Value","CVDEXLEN.Value.Description","CVDEXLEN.Count","CVDEXLEN.Cumulative","CVDEXLEN.Skip.to.Item"
"0 to 36.13","Range of Values",4602,4602,NA
".","Missing",0,4602,NA
