"DRD370OQ.Code.or.Value","DRD370OQ.Value.Description","DRD370OQ.Count","DRD370OQ.Cumulative","DRD370OQ.Skip.to.Item"
"1 to 4","Range of Values",17,17,NA
".","Missing",9626,9643,NA
