"DR1IVB1.Code.or.Value","DR1IVB1.Value.Description","DR1IVB1.Count","DR1IVB1.Cumulative","DR1IVB1.Skip.to.Item"
"0 to 8.715","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
