"DSQILZ.Code.or.Value","DSQILZ.Value.Description","DSQILZ.Count","DSQILZ.Cumulative","DSQILZ.Skip.to.Item"
"100 to 83200","Range of Values",667,667,NA
".","Missing",8892,9559,NA
