"DRXTMAGN.Code.or.Value","DRXTMAGN.Value.Description","DRXTMAGN.Count","DRXTMAGN.Cumulative","DRXTMAGN.Skip.to.Item"
"0 to 2396.51","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
