"LBXPLTSI.Code.or.Value","LBXPLTSI.Value.Description","LBXPLTSI.Count","LBXPLTSI.Cumulative","LBXPLTSI.Skip.to.Item"
"28 to 1000","Range of Values",8267,8267,NA
".","Missing",1040,9307,NA
