"AUDTYL17.Code.or.Value","AUDTYL17.Value.Description","AUDTYL17.Count","AUDTYL17.Cumulative","AUDTYL17.Skip.to.Item"
"0 to 1.91","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
