"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.066 to 300","Range of Values",2132,2132,NA
".","Missing",6137,8269,NA
