"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"0 to 4051","Range of Values",9282,9282,NA
".","Missing",0,9282,NA
