"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 61","Range of Values",381,381,NA
"70","70 or more",4,385,NA
"77777","Refused",0,385,NA
"99999","Don't know",16,401,NA
".","Missing",9265,9666,NA
