"WBXP033.Code.or.Value","WBXP033.Value.Description","WBXP033.Count","WBXP033.Cumulative","WBXP033.Skip.to.Item"
"-179.3282 to 162.053","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
