"RFXT057.Code.or.Value","RFXT057.Value.Description","RFXT057.Count","RFXT057.Cumulative","RFXT057.Skip.to.Item"
"486 to 495","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
