"RFXT053.Code.or.Value","RFXT053.Value.Description","RFXT053.Count","RFXT053.Cumulative","RFXT053.Skip.to.Item"
"451 to 460","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
