"LBDT4FSI.Code.or.Value","LBDT4FSI.Value.Description","LBDT4FSI.Count","LBDT4FSI.Cumulative","LBDT4FSI.Skip.to.Item"
"1.3 to 61.9","Range of Values",6264,6264,NA
".","Missing",653,6917,NA
