"AUXRR272.Code.or.Value","AUXRR272.Value.Description","AUXRR272.Count","AUXRR272.Cumulative","AUXRR272.Skip.to.Item"
"-6 to 71","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
