"URDBP3LC.Code.or.Value","URDBP3LC.Value.Description","URDBP3LC.Count","URDBP3LC.Cumulative","URDBP3LC.Skip.to.Item"
"0","At or above the detection limit",2444,2444,NA
"1","Below lower detection limit",73,2517,NA
".","Missing",95,2612,NA
