"AUAFMANR.Code.or.Value","AUAFMANR.Value.Description","AUAFMANR.Count","AUAFMANR.Cumulative","AUAFMANR.Skip.to.Item"
"1","None",2770,2770,NA
"2","500 Hz",9,2779,NA
"3","1000 Hz",24,2803,NA
"4","2000 Hz",10,2813,NA
"5","3000 Hz",15,2828,NA
"6","4000 Hz",10,2838,NA
"7","6000 Hz",23,2861,NA
"8","8000 Hz",60,2921,NA
".","Missing",210,3131,NA
