"LBXRBCSI.Code.or.Value","LBXRBCSI.Value.Description","LBXRBCSI.Count","LBXRBCSI.Cumulative","LBXRBCSI.Skip.to.Item"
"2.61 to 7.03","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
