"LBDFOT.Code.or.Value","LBDFOT.Value.Description","LBDFOT.Count","LBDFOT.Cumulative","LBDFOT.Skip.to.Item"
"1.82 to 556","Range of Values",8452,8452,NA
".","Missing",970,9422,NA
