"DXXSATA.Code.or.Value","DXXSATA.Value.Description","DXXSATA.Count","DXXSATA.Cumulative","DXXSATA.Skip.to.Item"
"17.84 to 1058.15","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
