"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 125","Range of Values",3205,3205,NA
"77777","Refused",2,3207,NA
"99999","Don't know",1,3208,NA
".","Missing",2931,6139,NA
