"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 52","Range of Values",575,575,NA
"0","None",11,586,NA
"7777","Refused",0,586,NA
"9999","Don't know",3,589,NA
".","Missing",9077,9666,NA
