"DUQ213.Code.or.Value","DUQ213.Value.Description","DUQ213.Count","DUQ213.Cumulative","DUQ213.Skip.to.Item"
"0 to 50","Range of Values",952,952,NA
"777","Refused",0,952,NA
"999","Don't know",0,952,NA
".","Missing",4350,5302,NA
