"LBCBR11L.Code.or.Value","LBCBR11L.Value.Description","LBCBR11L.Count","LBCBR11L.Cumulative","LBCBR11L.Skip.to.Item"
"0.6293 to 20.93","Range of Values",282,282,NA
".","Missing",2,284,NA
